A,1,1,0.359533,48,16
A,1,2,0.631519,48,16
A,1,3,0.302274,48,16
A,2,1,0.267054,48,16
A,2,2,0.505515,48,16
A,2,3,0.057505,48,16
A,3,1,0.665130,48,16
A,3,2,0.870329,48,16
A,3,3,0.336826,48,16
A,4,1,0.923695,48,16
A,4,2,0.734429,48,16
A,4,3,0.007084,48,16
A,5,1,0.358417,48,16
A,5,2,0.186947,48,16
A,5,3,0.298239,48,16
A,6,1,0.072209,48,16
A,6,2,0.913435,48,16
A,6,3,0.288182,48,16
A,7,1,0.423889,48,16
A,7,2,0.853907,48,16
A,7,3,0.698359,48,16
A,8,1,0.606272,48,16
A,8,2,0.585553,48,16
A,8,3,0.450740,48,16
A,9,1,0.336525,48,16
A,9,2,0.155238,48,16
A,9,3,0.552445,48,16
A,10,1,0.299360,48,16
A,10,2,0.608494,48,16
A,10,3,0.085575,48,16
A,11,1,0.792373,48,16
A,11,2,0.312869,48,16
A,11,3,0.222020,48,16
A,12,1,0.827793,48,16
A,12,2,0.743478,48,16
A,12,3,0.506276,48,16
A,13,1,0.040138,48,16
A,13,2,0.848227,48,16
A,13,3,0.581000,48,16
A,14,1,0.153050,48,16
A,14,2,0.093670,48,16
A,14,3,0.037857,48,16
A,15,1,0.586758,48,16
A,15,2,0.484661,48,16
A,15,3,0.329091,48,16
A,16,1,0.011732,48,16
A,16,2,0.984368,48,16
A,16,3,0.425830,48,16
A,17,1,0.970258,48,16
A,17,2,0.389942,48,16
A,17,3,0.659108,48,16
A,18,1,0.401401,48,16
A,18,2,0.507990,48,16
A,18,3,0.738428,48,16
A,19,1,0.627256,48,16
A,19,2,0.144422,48,16
A,19,3,0.031366,48,16
A,20,1,0.238042,48,16
A,20,2,0.331279,48,16
A,20,3,0.099245,48,16
A,21,1,0.854594,48,16
A,21,2,0.980754,48,16
A,21,3,0.040982,48,16
A,22,1,0.967377,48,16
A,22,2,0.895444,48,16
A,22,3,0.726096,48,16
A,23,1,0.564003,48,16
A,23,2,0.985721,48,16
A,23,3,0.187763,48,16
A,24,1,0.233041,48,16
A,24,2,0.814501,48,16
A,24,3,0.159699,48,16
A,25,1,0.071603,48,16
A,25,2,0.800060,48,16
A,25,3,0.837689,48,16
A,26,1,0.350543,48,16
A,26,2,0.142990,48,16
A,26,3,0.078118,48,16
A,27,1,0.121652,48,16
A,27,2,0.942237,48,16
A,27,3,0.749422,48,16
A,28,1,0.772915,48,16
A,28,2,0.973492,48,16
A,28,3,0.416016,48,16
A,29,1,0.034007,48,16
A,29,2,0.449761,48,16
A,29,3,0.091014,48,16
A,30,1,0.597635,48,16
A,30,2,0.035873,48,16
A,30,3,0.838207,48,16
A,31,1,0.397966,48,16
A,31,2,0.284171,48,16
A,31,3,0.297113,48,16
A,32,1,0.547705,48,16
A,32,2,0.456766,48,16
A,32,3,0.112888,48,16
A,33,1,0.999834,48,16
A,33,2,0.232659,48,16
A,33,3,0.728638,48,16
A,34,1,0.363838,48,16
A,34,2,0.156996,48,16
A,34,3,0.350335,48,16
A,35,1,0.119195,48,16
A,35,2,0.086260,48,16
A,35,3,0.087894,48,16
A,36,1,0.113164,48,16
A,36,2,0.837866,48,16
A,36,3,0.634596,48,16
A,37,1,0.758630,48,16
A,37,2,0.134853,48,16
A,37,3,0.032398,48,16
A,38,1,0.119832,48,16
A,38,2,0.689168,48,16
A,38,3,0.923074,48,16
A,39,1,0.530589,48,16
A,39,2,0.356711,48,16
A,39,3,0.807864,48,16
A,40,1,0.077182,48,16
A,40,2,0.775516,48,16
A,40,3,0.278724,48,16
A,41,1,0.070199,48,16
A,41,2,0.430331,48,16
A,41,3,0.923816,48,16
A,42,1,0.997467,48,16
A,42,2,0.246247,48,16
A,42,3,0.897624,48,16
A,43,1,0.647210,48,16
A,43,2,0.407416,48,16
A,43,3,0.644412,48,16
A,44,1,0.410284,48,16
A,44,2,0.749008,48,16
A,44,3,0.702125,48,16
A,45,1,0.297851,48,16
A,45,2,0.562191,48,16
A,45,3,0.586162,48,16
A,46,1,0.637014,48,16
A,46,2,0.787362,48,16
A,46,3,0.055782,48,16
A,47,1,0.241928,48,16
A,47,2,0.545481,48,16
A,47,3,0.242709,48,16
A,48,1,0.622038,48,16
A,48,2,0.825234,48,16
A,48,3,0.580806,48,16
B,1,1,0.911091,48,16
B,1,2,0.903377,48,16
B,1,3,0.727681,48,16
B,1,4,0.414698,48,16
B,1,5,0.640153,48,16
B,1,6,0.092457,48,16
B,1,7,0.794689,48,16
B,1,8,0.771190,48,16
B,1,9,0.979364,48,16
B,1,10,0.017624,48,16
B,1,11,0.118624,48,16
B,1,12,0.468953,48,16
B,1,13,0.435023,48,16
B,1,14,0.837685,48,16
B,1,15,0.390640,48,16
B,1,16,0.310004,48,16
B,2,1,0.228133,48,16
B,2,2,0.220500,48,16
B,2,3,0.706412,48,16
B,2,4,0.802607,48,16
B,2,5,0.875508,48,16
B,2,6,0.077417,48,16
B,2,7,0.198826,48,16
B,2,8,0.448482,48,16
B,2,9,0.260340,48,16
B,2,10,0.784933,48,16
B,2,11,0.413319,48,16
B,2,12,0.295427,48,16
